date,category,income,expenses,balance,transaction_type
2023-09-02,airtime,,-20.0,2589.61,Paybill / Utility Payment
2023-09-02,airtime,,-20.0,2609.61,Other
2023-09-01,airtime,,-10.0,2629.61,Airtime / Data
2023-08-30,airtime,,-5.0,2639.61,Airtime / Data
2023-08-30,airtime,,-10.0,2644.61,Paybill / Utility Payment
2023-08-30,airtime,,-10.0,2654.61,Paybill / Utility Payment
2023-08-30,supermarket expenses,,-145.0,2664.61,Merchant Purchase
2023-08-30,airtime,,-10.0,2809.61,Paybill / Utility Payment
2023-08-30,airtime,,-10.0,2819.61,Paybill / Utility Payment
2023-08-29,airtime,,-10.0,2829.61,Paybill / Utility Payment
2023-08-29,other expenses,,-690.0,2839.61,Paybill / Utility Payment
2023-08-29,transaction cost,,-7.0,3529.61,Transaction Cost
2023-08-29,sent to friends,,-150.0,3536.61,Peer Transfer
2023-08-29,transaction cost,,-3.0,3686.61,Paybill / Utility Payment
2023-08-29,airtime,,-100.0,3689.61,Paybill / Utility Payment
2023-08-28,supermarket expenses,,-110.0,3789.61,Merchant Purchase
2023-08-28,airtime,,-10.0,3899.61,Airtime / Data
2023-08-27,transaction cost,,-7.0,3909.61,Transaction Cost
2023-08-27,personal expenditures,,-150.0,3916.61,Peer Transfer
2023-08-26,transaction cost,,-7.0,4066.61,Transaction Cost
2023-08-26,personal expenditures,,-190.0,4073.61,Peer Transfer
2023-08-26,airtime,,-20.0,4263.61,Other
2023-08-26,airtime,,-20.0,4283.61,Other
2023-08-26,transaction cost,,-7.0,4303.61,Transaction Cost
2023-08-26,personal expenditures,,-170.0,4310.61,Peer Transfer
2023-08-26,airtime,,-20.0,4480.61,Other
2023-08-26,transaction cost,,-90.0,4500.61,Transaction Cost
2023-08-26,family,,-10000.0,4590.61,Peer Transfer
2023-08-26,family,,-1000.0,14590.61,Merchant Purchase
2023-08-26,family,15167.0,,15590.61,Other
2023-08-26,airtime,,-30.0,423.61,Airtime / Data
2023-08-26,airtime,,-10.0,453.61,Airtime / Data
2023-08-26,transport,450.0,,463.61,Other
2023-08-26,airtime,,-10.0,13.61,Unclassified
2023-08-26,savings withdrawal,20.0,,23.61,Unclassified
2023-08-26,airtime,,-10.0,3.61,Airtime / Data
2023-08-26,airtime,,-10.0,13.61,Unclassified
2023-08-26,savings withdrawal,20.0,,23.61,Unclassified
2023-08-25,airtime,,-10.0,3.61,Paybill / Utility Payment
2023-08-25,airtime,,-10.0,13.61,Paybill / Utility Payment
2023-08-25,airtime,,-10.0,23.61,Paybill / Utility Payment
2023-08-25,airtime,,-10.0,33.61,Paybill / Utility Payment
2023-08-25,airtime,,-5.0,43.61,Airtime / Data
2023-08-22,electricity,,-25.0,48.61,Paybill / Utility Payment
2023-08-20,airtime,,-5.0,73.61,Airtime / Data
2023-08-20,airtime,,-20.0,78.61,Paybill / Utility Payment
2023-08-20,airtime,,-5.0,98.61,Airtime / Data
2023-08-20,other expenses,,-10.0,103.61,Merchant Purchase
2023-08-20,airtime,,-20.0,113.61,Paybill / Utility Payment
2023-08-20,airtime,,-20.0,133.61,Other
2023-08-19,airtime,,-5.0,153.61,Airtime / Data
2023-08-19,transaction cost,,-2.0,158.61,Paybill / Utility Payment
2023-08-19,airtime,,-30.0,160.61,Paybill / Utility Payment
2023-08-19,transaction cost,,-3.0,190.61,Paybill / Utility Payment
2023-08-19,airtime,,-50.0,193.61,Paybill / Utility Payment
2023-08-19,family,30.0,,243.61,Other
2023-08-19,airtime,,-20.0,213.61,Other
2023-08-19,airtime,,-20.0,233.61,Other
2023-08-18,transport,,-50.0,253.61,Peer Transfer
2023-08-18,transport,,-50.0,303.61,Peer Transfer
2023-08-18,family,100.0,,353.61,Other
2023-08-18,supermarket expenses,,-130.0,253.61,Merchant Purchase
2023-08-17,friends,300.0,,383.61,Other
2023-08-17,airtime,,-5.0,83.61,Airtime / Data
2023-08-16,airtime,,-20.0,88.61,Other
2023-08-14,electricity,,-25.0,108.61,Paybill / Utility Payment
2023-08-13,airtime,,-10.0,133.61,Paybill / Utility Payment
2023-08-11,airtime,,-10.0,143.61,Paybill / Utility Payment
2023-08-11,supermarket expenses,,-90.0,153.61,Merchant Purchase
2023-08-11,airtime,,-5.0,243.61,Airtime / Data
2023-08-11,sent to family,,-100.0,248.61,Peer Transfer
2023-08-10,supermarket expenses,,-199.0,348.61,Merchant Purchase
2023-08-10,family,500.0,,547.61,Other
2023-08-10,transport,,-70.0,47.61,Peer Transfer
2023-08-10,savings withdrawal,100.0,,117.61,Other
2023-08-10,transport,,-50.0,17.61,Peer Transfer
2023-08-10,supermarket expenses,,-60.0,67.61,Merchant Purchase
2023-08-10,family,100.0,,127.61,Other
2023-08-10,airtime,,-5.0,27.61,Airtime / Data
2023-08-10,airtime,,-5.0,32.61,Airtime / Data
2023-08-10,savings withdrawal,10.0,,37.61,Other
2023-08-10,supermarket expenses,,-40.0,27.61,Merchant Purchase
2023-08-10,airtime,,-5.0,67.61,Airtime / Data
2023-08-09,supermarket expenses,,-90.0,72.61,Merchant Purchase
2023-08-09,family,60.0,,162.61,Other
2023-08-09,family,100.0,,102.61,Other
2023-08-09,airtime,,-20.0,2.61,Other
2023-08-08,airtime,,-20.0,22.61,Paybill / Utility Payment
2023-08-08,airtime,,-20.0,42.61,Other
2023-08-08,savings withdrawal,50.0,,62.61,Other
2023-08-07,airtime,,-20.0,12.61,Other
2023-08-07,airtime,,-10.0,32.61,Other
2023-08-07,supermarket expenses,,-65.0,42.61,Merchant Purchase
2023-08-07,family,100.0,,107.61,Other
2023-08-07,airtime,,-20.0,7.61,Other
2023-08-07,airtime,,-10.0,27.61,Paybill / Utility Payment
2023-08-07,other expenses,,-20.0,37.61,Peer Transfer
2023-08-07,airtime,,-20.0,57.61,Other
2023-08-06,airtime,,-5.0,77.61,Airtime / Data
2023-08-06,airtime,,-20.0,82.61,Other
2023-08-06,airtime,,-20.0,102.61,Other
2023-08-06,airtime,,-5.0,122.61,Airtime / Data
2023-08-06,airtime,,-5.0,127.61,Airtime / Data
2023-08-06,airtime,,-10.0,132.61,Paybill / Utility Payment
2023-08-06,family,100.0,,142.61,Other
2023-08-06,airtime,,-20.0,42.61,Other
2023-08-06,savings withdrawal,50.0,,62.61,Other
2023-08-05,airtime,,-20.0,12.61,Other
2023-08-05,airtime,,-5.0,32.61,Airtime / Data
2023-08-05,airtime,,-20.0,37.61,Paybill / Utility Payment
2023-08-04,airtime,,-10.0,57.61,Paybill / Utility Payment
2023-08-03,airtime,,-10.0,67.61,Paybill / Utility Payment
2023-08-03,airtime,,-10.0,77.61,Paybill / Utility Payment
2023-08-03,transport,,-50.0,87.61,Peer Transfer
2023-08-03,airtime,,-20.0,137.61,Merchant Purchase
2023-08-03,airtime,,-10.0,157.61,Paybill / Utility Payment
2023-08-02,friends,,-100.0,167.61,Peer Transfer
2023-08-02,airtime,,-10.0,267.61,Paybill / Utility Payment
2023-08-02,supermarket expenses,,-50.0,277.61,Merchant Purchase
2023-08-01,airtime,,-10.0,327.61,Paybill / Utility Payment
2023-08-01,airtime,,-10.0,337.61,Paybill / Utility Payment
2023-08-01,transaction cost,,-7.0,347.61,Transaction Cost
2023-08-01,sent to friends,,-300.0,354.61,Peer Transfer
2023-08-01,supermarket expenses,,-635.0,654.61,Merchant Purchase
2023-08-01,family,1000.0,,1289.61,Other
2023-08-01,food,,-200.0,289.61,Merchant Purchase
2023-08-01,supermarket expenses,,-60.0,489.61,Merchant Purchase
2023-07-31,food,70.0,,549.61,Other
2023-07-31,other expenses,,-35.0,479.61,Paybill / Utility Payment
2023-07-31,food,,-70.0,514.61,Peer Transfer
2023-07-31,health,,-100.0,584.61,Merchant Purchase
2023-07-31,airtime,,-10.0,684.61,Other
2023-07-31,family,110.0,,694.61,Unclassified
2023-07-31,transport,,-50.0,584.61,Unclassified
2023-07-31,family,100.0,,634.61,Unclassified
2023-07-30,electricity,,-50.0,534.61,Unclassified
2023-07-30,supermarket expenses,,-235.0,584.61,Unclassified
2023-07-30,friends,300.0,,819.61,Unclassified
2023-07-30,electricity,,-25.0,519.61,Unclassified
2023-07-29,airtime,,-10.0,544.61,Unclassified
2023-07-29,airtime,,-5.0,554.61,Unclassified
2023-07-29,transport,,-50.0,559.61,Unclassified
2023-07-27,supermarket expenses,,-255.0,609.61,Unclassified
2023-07-27,transport,,-50.0,864.61,Unclassified
2023-07-27,transport,,-70.0,914.61,Unclassified
2023-07-27,transaction cost,,-28.0,984.61,Unclassified
2023-07-27,supermarket expenses,,-2200.0,1012.61,Unclassified
2023-07-27,family,3050.0,,3212.61,Unclassified
2023-07-27,health,,-39.0,162.61,Unclassified
2023-07-26,airtime,,-10.0,201.61,Unclassified
2023-07-26,philanthropy,,-20.0,211.61,Unclassified
2023-07-25,transport,,-50.0,231.61,Unclassified
2023-07-25,transport,,-50.0,281.61,Unclassified
2023-07-25,family,100.0,,331.61,Unclassified
2023-07-25,supermarket expenses,,-5.0,231.61,Unclassified
2023-07-24,transport,,-50.0,236.61,Unclassified
2023-07-24,family,100.0,,286.61,Unclassified
2023-07-24,airtime,,-10.0,186.61,Unclassified
2023-07-23,supermarket expenses,,-90.0,196.61,Unclassified
2023-07-23,airtime,,-20.0,286.61,Unclassified
2023-07-23,airtime,,-10.0,306.61,Unclassified
2023-07-20,savings deposit,,-250.0,316.61,Unclassified
2023-07-20,airtime,,-5.0,566.61,Unclassified
2023-07-20,supermarket expenses,,-35.0,571.61,Unclassified
2023-07-19,airtime,,-10.0,606.61,Unclassified
2023-07-19,airtime,,-10.0,616.61,Unclassified
2023-07-19,airtime,,-10.0,626.61,Unclassified
2023-07-17,supermarket expenses,,-145.0,636.61,Unclassified
2023-07-17,supermarket expenses,,-5.0,781.61,Unclassified
2023-07-17,supermarket expenses,,-50.0,786.61,Unclassified
2023-07-16,airtime,,-10.0,836.61,Unclassified
2023-07-16,friends,,-1.0,846.61,Unclassified
2023-07-15,airtime,,-5.0,847.61,Unclassified
2023-07-15,supermarket expenses,,-366.0,852.61,Unclassified
2023-07-15,airtime,,-10.0,1218.61,Unclassified
2023-07-15,transport,,-50.0,1228.61,Unclassified
2023-07-15,family,100.0,,1278.61,Unclassified
2023-07-14,philanthropy,,-30.0,1178.61,Unclassified
2023-07-13,airtime,,-20.0,1208.61,Unclassified
2023-07-13,food,,-50.0,1228.61,Unclassified
2023-07-13,transport,,-70.0,1278.61,Unclassified
2023-07-13,transport,,-50.0,1348.61,Unclassified
2023-07-13,airtime,,-20.0,1398.61,Unclassified
2023-07-13,supermarket expenses,,-324.0,1418.61,Unclassified
2023-07-13,transaction cost,,-6.0,1742.61,Unclassified
2023-07-13,other expenses,,-150.0,1748.61,Unclassified
2023-07-13,airtime,,-20.0,1898.61,Unclassified
2023-07-13,other expenses,,-100.0,1918.61,Unclassified
2023-07-13,family,2000.0,,2018.61,Unclassified
2023-07-13,transaction cost,,-27.0,18.61,Unclassified
2023-07-13,personal expenditures,,-200.0,45.61,Unclassified
2023-07-13,savings withdrawal,150.0,,245.61,Unclassified
2023-07-13,airtime,,-20.0,95.61,Unclassified
2023-07-13,transaction cost,,-6.0,115.61,Unclassified
2023-07-13,personal expenditures,,-310.0,121.61,Unclassified
2023-07-13,airtime,,-20.0,431.61,Unclassified
2023-07-13,airtime,,-20.0,451.61,Unclassified
2023-07-12,supermarket expenses,,-40.0,471.61,Unclassified
2023-07-12,supermarket expenses,,-1093.0,511.61,Unclassified
2023-07-12,family,970.0,,1604.61,Unclassified
2023-07-12,family,100.0,,634.61,Unclassified
2023-07-12,family,500.0,,534.61,Unclassified
2023-07-12,savings deposit,,-150.0,34.61,Unclassified
